epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,94.0687,0.93719,0.5877,1.05148,0.9504,0.9853,0.995,0.58301,1.30385,0.65613,1.20046,0.000539275,0.000539275,0.000539275
43,95.5056,0.97102,0.58167,1.0519,0.98675,1,0.995,0.58996,1.30671,0.63442,1.23167,0.000511769,0.000511769,0.000511769
44,96.8882,0.98863,0.56241,1.04188,0.98742,1,0.995,0.62123,1.28571,0.62711,1.19341,0.000484263,0.000484263,0.000484263
45,98.2274,1.0393,0.56786,1.08631,0.98742,1,0.995,0.62123,1.28571,0.62711,1.19341,0.000456758,0.000456758,0.000456758
46,99.8758,0.98534,0.57396,1.05972,0.98546,0.99604,0.995,0.63754,1.31225,0.59211,1.22622,0.000429253,0.000429253,0.000429253
47,102.022,0.91333,0.55004,1.04835,0.98594,1,0.995,0.63202,1.29171,0.55837,1.22244,0.000401747,0.000401747,0.000401747
48,103.599,0.97064,0.56519,1.06965,0.98744,1,0.995,0.66109,1.22829,0.53555,1.19537,0.000374242,0.000374242,0.000374242
49,105.065,0.94356,0.52847,1.05878,0.98744,1,0.995,0.66109,1.22829,0.53555,1.19537,0.000346736,0.000346736,0.000346736
50,106.722,0.98199,0.56753,1.09224,0.98709,1,0.995,0.65902,1.25607,0.55388,1.17137,0.000319231,0.000319231,0.000319231
51,114.88,0.85732,0.58944,1.07137,0.98818,1,0.995,0.64384,1.22527,0.52373,1.15048,0.000291725,0.000291725,0.000291725
52,117.749,0.86085,0.55585,1.0783,0.98402,1,0.995,0.66759,1.19632,0.51297,1.13049,0.00026422,0.00026422,0.00026422
53,120.056,0.82473,0.50317,1.04594,0.98402,1,0.995,0.66759,1.19632,0.51297,1.13049,0.000236714,0.000236714,0.000236714
54,121.937,0.87084,0.5136,1.00773,0.97762,1,0.995,0.66799,1.19886,0.53798,1.13352,0.000209209,0.000209209,0.000209209
55,123.427,0.81689,0.48886,1.03313,0.97397,1,0.995,0.67179,1.19843,0.53542,1.13973,0.000181703,0.000181703,0.000181703
56,124.934,0.85085,0.49646,1.00429,0.97789,1,0.995,0.67153,1.1819,0.51888,1.13834,0.000154198,0.000154198,0.000154198
57,126.857,0.87619,0.50216,1.04995,0.97789,1,0.995,0.67153,1.1819,0.51888,1.13834,0.000126692,0.000126692,0.000126692
58,128.792,0.79386,0.47469,1.00879,0.98473,1,0.995,0.67054,1.16867,0.49123,1.13912,9.91865e-05,9.91865e-05,9.91865e-05
59,130.578,0.7758,0.45349,1.00241,0.98911,1,0.995,0.68416,1.1651,0.48811,1.13642,7.1681e-05,7.1681e-05,7.1681e-05
60,132.057,0.82952,0.4588,1.00684,0.99034,1,0.995,0.6924,1.16603,0.48274,1.13519,4.41755e-05,4.41755e-05,4.41755e-05
